Sex,WeightClassKg,Place,CarpinoScore
M,59,1,609.0
M,59,2,589.0
M,59,3,576.0
M,59,4,566.5
M,59,5,546.5
M,66,1,707.5
M,66,2,699.5
M,66,3,695.0
M,66,4,682.5
M,66,5,673.5
M,74,1,801.5
M,74,2,774.5
M,74,3,766.0
M,74,4,753.5
M,74,5,746.0
M,83,1,821.0
M,83,2,812.0
M,83,3,795.0
M,83,4,782.5
M,83,5,778.5
M,93,1,887.0
M,93,2,882.5
M,93,3,878.0
M,93,4,862.5
M,93,5,861.5
M,105,1,931.0
M,105,2,918.5
M,105,3,901.5
M,105,4,886.0
M,105,5,876.5
M,120,1,947.5
M,120,2,931.0
M,120,3,911.0
M,120,4,895.0
M,120,5,891.5
M,120+,1,1071.5
M,120+,2,1007.0
M,120+,3,958.5
M,120+,4,929.0
M,120+,5,920.0
F,47,1,428.0
F,47,2,408.5
F,47,3,390.0
F,47,4,381.5
F,47,5,364.0
F,52,1,458.5
F,52,2,442.0
F,52,3,434.5
F,52,4,428.5
F,52,5,421.5
F,57,1,502.5
F,57,2,491.5
F,57,3,477.0
F,57,4,468.5
F,57,5,457.5
F,63,1,538.5
F,63,2,526.0
F,63,3,521.0
F,63,4,506.0
F,63,5,489.0
F,69,1,554.0
F,69,2,544.0
F,69,3,531.0
F,69,4,526.0
F,69,5,517.5
F,76,1,597.0
F,76,2,589.5
F,76,3,565.0
F,76,4,547.5
F,76,5,541.0
F,84,1,631.5
F,84,2,579.0
F,84,3,551.0
F,84,4,544.0
F,84,5,531.0
F,84+,1,697.5
F,84+,2,680.0
F,84+,3,663.5
F,84+,4,644.0
F,84+,5,629.5
